RefDes,Qty,Population,Category,Function,Manufacturer,Part_or_Value,Manufacturer_Part_Number,Footprint_or_Interface,Supply_or_Net_Context,Open_Hardware_Treatment,Source_or_Product_URL,Verification_Status,Release_Note
PCB1,1,Required,Custom PCB,Thin-Pod Gateway carrier PCB,PCB fabricator,Thin-Pod Gateway rev 0.1; manufactured fabrication build marked rev 0.1f,Custom fabrication item,Two-layer PCB; approximately 160 mm × 145 mm; four M3 mounting holes,"Carries 5V_GATEWAY, 3V3_GATEWAY, GND and SPI/control interconnect",Creator-designed Gateway carrier-board source; released under CERN-OHL-W-2.0,,"Fabricated, assembled, powered and physically validated",Normative source is the certified public rev 0.1 KiCad and fabrication package; OSHWA UID UK000092.
U1,1,Required for functional Gateway assembly,Commercial development board,Main Gateway host and prospective analytic supervisor,STMicroelectronics,STM32 Nucleo-144 development board with STM32N657X0 MCU,NUCLEO-N657X0-Q,Gateway carrier interface through ST morpho-header connections CN3 and CN15,Provides 5V_GATEWAY from CN3.6; 3V3_GATEWAY from CN3.16; common GND; SPI5/control lines on CN15,"Commercial third-party development board; included for reproducibility, not relicensed",https://www.st.com/en/evaluation-tools/nucleo-n657x0-q.html,"Interface mapping, seating, power and NUCLEO-to-DWM host communication physically validated",NUCLEO power route and Gateway interface evidence are recorded in the bring-up and physical-validation documents.
U2,1,Required for UWB Gateway assembly,Commercial UWB development board,Gateway-side UWB communications subsystem,Qorvo,DWM3001-CDK development board,DWM3001CDK,CDK carrier/interface footprint using J10 Raspberry Pi-compatible header connections,"5V_GATEWAY to J10.2 / VRPI; SPI1_CLK/MISO/MOSI, CS_RPI, GPIO_RPI/IRQ, RESET and common GND","Commercial third-party development board; included for reproducibility, not relicensed",https://www.qorvo.com/products/p/DWM3001CDK,"Power, ground, RESET, host interface, DW3110 identity and matched UWB exchange physically validated",Rev 0.1 uses the CDK module board; the later DWM3001C chip-down/module-only direction remains outside this certification.
U3,1,Optional for onward-networking assembly,Commercial wireless development module,Optional Wi-Fi / onward-networking subsystem,Seeed Studio,Seeed Studio XIAO ESP32-C6,XIAO ESP32C6,XIAO-ESP32-C6-DIP carrier interface,5V_GATEWAY to pin 14 / VBUS; GND to pin 13; shared SPI5 on D8-D10; C6_CS on D3; C6_INT on D2; pin 12 / 3V3 intentionally not carrier-powered,"Commercial third-party module; optional dependency, not relicensed",https://wiki.seeedstudio.com/xiao_esp32c6_getting_started/,Optional module interface defined; optional-module bring-up remains outside the certified validation baseline,Optional population. Omission does not alter the certified creator-designed carrier-board boundary.
R1,1,Required,Resistor,DWM chip-select pull-up,Generic,"10 kΩ, axial through-hole resistor",Builder-selected compatible 10 kΩ axial resistor,Through-hole axial resistor footprint — confirm exact KiCad identifier from final source,DWM_CS pulled up to 3V3_GATEWAY,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; relevant idle/interface behaviour included in bring-up evidence,Generic compatible assembly part; exact manufacturer selection remains builder-controlled.
R2,1,Required,Resistor,XIAO chip-select pull-up,Generic,"10 kΩ, axial through-hole resistor",Builder-selected compatible 10 kΩ axial resistor,Through-hole axial resistor footprint — confirm exact KiCad identifier from final source,C6_CS pulled up to 3V3_GATEWAY,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; relevant idle/interface behaviour included in bring-up evidence,Generic compatible assembly part; exact manufacturer selection remains builder-controlled.
C1,1,Required,Capacitor,Local high-frequency supply decoupling,Generic,"100 nF, through-hole ceramic capacitor",Builder-selected compatible 100 nF through-hole capacitor,Through-hole capacitor footprint — confirm exact KiCad identifier from final source,Local 5V_GATEWAY decoupling near module load,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; associated rail stability validated during powered bring-up,Exact brand and MPN are non-normative assembly choices.
C2,1,Required,Capacitor,Local bulk supply decoupling,Generic,"10 µF, through-hole capacitor",Builder-selected compatible 10 µF through-hole capacitor,Through-hole capacitor footprint — confirm exact KiCad identifier from final source,Local 5V_GATEWAY bulk decoupling near module load,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; associated rail stability validated during powered bring-up,Observe polarity where a polarised part is selected; exact brand and MPN are non-normative.
C3,1,Required,Capacitor,Local high-frequency supply decoupling,Generic,"100 nF, through-hole ceramic capacitor",Builder-selected compatible 100 nF through-hole capacitor,Through-hole capacitor footprint — confirm exact KiCad identifier from final source,Local 5V_GATEWAY decoupling near module load,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; associated rail stability validated during powered bring-up,Exact brand and MPN are non-normative assembly choices.
C4,1,Required,Capacitor,Local bulk supply decoupling,Generic,"10 µF, through-hole capacitor",Builder-selected compatible 10 µF through-hole capacitor,Through-hole capacitor footprint — confirm exact KiCad identifier from final source,Local 5V_GATEWAY bulk decoupling near module load,Standard commercial component listed for reproducibility,,Present in certified design and fitted assembly; associated rail stability validated during powered bring-up,Observe polarity where a polarised part is selected; exact brand and MPN are non-normative.
